Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
ASPN,25.93000030517578,26.01499938964844,10,9,-1,27.78851384992269,0.1751121384756908,-17.82485961914062,-0.5958054312257649
CB,253.4900054931641,253.5950012207031,15,18,3,27.5545928797455,0.1339219338553196,-7.260040283203125,-0.2602589400155311
EETH,64.5250015258789,64.6552963256836,10,10,0,28.29976218591985,0.1899287537166021,-7.599166870117188,-0.2555077297194796
EIG,42.09500122070312,42.18999862670898,80,94,14,25.83917610892782,0.006789417266843012,-9.939956665039062,-0.3318307518498208
FANG,195.0599975585938,195.1450042724609,70,69,-1,19.66311002705173,0.1871179689679909,19.04983520507812,0.6507924803951013
GSK,45.68999862670898,45.70999908447266,365,382,17,26.00153117876684,0.004711382729669519,0.0,0.0
HQY,75.41000366210938,75.44499969482422,160,159,-1,28.01038447081174,0.1865387943812755,-9.165023803710938,-0.3114859981471831
HTGC,19.07869911193848,19.09000015258789,335,335,0,27.87615685303471,0.004132605961391693,0.0,0.0
ICU,0.3481000065803528,0.3540999889373779,340,341,1,25.18650938575659,0.001137673492942536,-23.72149658203125,-0.7907336572845598
IOVA,10.72000026702881,10.73999977111816,345,344,-1,24.78681498466374,0.003879412923540604,-8.369925498962402,-0.279327128589576
KOLD,54.44169998168945,54.65499877929688,210,216,6,22.56390478237297,0.04660662787301173,18.09015655517624,0.6129410056758062
LUNR,5.429999828338623,5.434999942779541,50,49,-1,26.60144568675918,0.01581486889294231,-8.320101261138916,-0.2778289318821224
MRUS,45.04999923706055,45.27000045776367,200,202,2,29.21295663031781,0.05193969862801767,-8.580070495605469,-0.2871682500567317
PCT,5.440000057220459,5.449999809265137,55,59,4,26.95709863617689,0.00982292822429115,-8.249926567077637,-0.2752269176247594
PCT,5.454999923706055,5.46999979019165,345,344,-1,22.66389018593792,0.006153084550584956,-8.219926834106445,-0.274220604404633
PGR,208.3500061035156,208.4600067138672,335,338,3,29.47127547909895,0.1503756277901768,10.5,0.3597812414107097
PXLW,1.118000030517578,1.129299998283386,65,64,-1,15.26681142726102,0.0184303693686213,-25.49771499633789,-0.8500879581516596
QNST,17.61000061035156,17.65999984741211,25,24,-1,18.81601654640473,0.04122672149113292,-8.449871063232422,-0.2831213901050726
QNST,17.38999938964844,17.40279960632324,125,124,-1,27.44577268377849,0.05676622254507929,30.47845458984375,1.018228798764237
QRTEA,0.7584999799728394,0.7591999769210815,260,259,-1,24.0619873824098,0.001968706292765505,2.370757877826691,0.0790358241826226
RZLT,2.660000085830688,2.699899911880493,120,131,11,25.38269151490454,0.01223314915384574,-44.32870674133301,-1.477826117710203
SPIR,11.61999988555908,11.625,285,284,-1,29.64401132642901,0.006848473208291461,-9.029960632324219,-0.3010739562331989
TRV,215.1499938964844,215.3399963378906,110,110,0,29.24657489838258,0.1474719565255311,-7.150039672851562,-0.2554114707491688
UAVS,0.729200005531311,0.7299000024795532,70,86,16,26.14209151203845,0.001189360639878707,-39.45593297481537,-1.315246425477045
UNM,52.47000122070312,52.5099983215332,105,120,15,26.634269204845,0.005844563075476206,-10.25979995727539,-0.3427851765988402
WM,209.0,209.0700073242188,370,371,1,27.23880069540004,0.09095412663051061,-0.9801025390625,-0.03348511109495729
AAN,7.349999904632568,7.400000095367432,320,321,1,27.71195368273015,0.002855477843965976,-8.099992275238037,-0.2702700090373528
ACHR,3.825000047683716,3.829999923706055,90,89,-1,25.31908160625584,0.005596760085650909,-7.829992532730103,-0.2610963619440614
ACN,301.9400024414062,302.1700134277344,80,83,3,23.88846878007354,0.2227604239327547,55.88992309570312,2.055131607744155
ADM,60.40999984741211,60.43500137329102,70,70,0,12.60237221099358,0.01765192713056374,-8.207477569580078,-0.2771565126667703
ADM,60.14500045776367,60.20000076293945,340,340,0,23.74796058431004,0.07813331740243074,-10.28995513916016,-0.3488356840718458
AEO,24.15999984741211,24.18000030517578,110,122,12,26.26363981831577,0.03742660522460903,1.240028381347656,0.04135743902242783
